Pruning %,Size (MB),Parameters (M),Inference Time (ms/image),Accuracy Before Fine-Tuning (%),Accuracy After Fine-Tuning (%),Learning Rate,Epochs,Epoch Time (s)
0,42.66,11.17,1.82,92.02,91.95,0.00001,1,4.05
5,38.41,10.06,1.99,88.17,91.56,0.00005,3,3.93
10,34.44,9.02,2.02,82.09,91.36,0.00005,3,4.09
15,30.74,8.05,2.00,76.15,91.01,0.00005,3,3.82
20,27.20,7.12,2.21,62.09,90.13,0.00005,3,3.68
25,24.02,6.29,1.84,47.88,89.71,0.00005,3,3.40
30,20.85,5.46,1.94,26.30,89.69,0.00010,3,3.45
35,17.95,4.70,2.07,20.28,88.95,0.00010,3,3.47
40,15.32,4.01,2.04,14.24,88.15,0.00010,3,3.38
45,12.85,3.36,1.96,10.29,87.61,0.00010,3,3.55
50,10.69,2.80,1.90,10.04,86.29,0.00010,3,3.77
55,8.62,2.25,1.95,10.00,87.33,0.00010,10,3.77
60,6.79,1.78,1.90,10.00,89.14,0.00100,10,3.78
65,5.21,1.36,2.04,10.00,87.58,0.00100,10,3.91
70,3.82,1.00,1.83,10.00,83.03,0.01000,10,3.79
75,2.69,0.70,2.07,10.95,79.64,0.01000,10,3.86
80,1.70,0.44,1.82,10.00,75.29,0.01000,10,3.79
85,0.95,0.25,1.88,10.00,70.89,0.01000,10,3.78
90,0.42,0.11,1.73,10.00,61.63,0.01000,10,3.60
