Pruning %,Format,Model Size (MB),Trainable Parameters (M),Inference Time (ms/image),Test Accuracy (%)
50%,FP32,10.69,2.80,1.85,86.07
50%,FP16,5.97,2.80,0.17,86.06
50%,INT8,4.95,2.80,0.12,85.84
55%,FP32,8.62,2.25,2.04,87.28
55%,FP16,5.25,2.25,0.17,87.27
55%,INT8,3.44,2.25,0.13,87.24
60%,FP32,6.79,1.78,1.86,88.96
60%,FP16,4.40,1.78,0.17,88.95
60%,INT8,2.96,1.78,0.12,89.03
65%,FP32,5.21,1.36,2.06,86.85
65%,FP16,3.34,1.36,0.16,86.86
65%,INT8,2.31,1.36,0.12,86.70
70%,FP32,3.82,1.00,1.93,81.92
70%,FP16,2.61,1.00,0.16,81.93
70%,INT8,2.06,1.00,0.12,82.05
75%,FP32,2.69,0.70,1.83,80.04
75%,FP16,1.85,0.70,0.14,80.07
75%,INT8,3.13,0.70,0.11,80.09
